name,address,postalCode,city,state,phone,email,website,iconUrl,capabilities,fb_handle,industryId
Ecovolt Energy,03 Rue Mohamed Bayram 5 Sidi Daoud,2045,La Marsa,Tunis,27973370,contact@ecovolt-energy.tn,www.ecovolt-energy.tn,ecovolt-energy.webp,Some projects on Facebook,EcoVoltEnergyEVE,76
EMEER,Rue independance n°29 résidence mariem - bloc B15 - étage 1,2080,Ariana,Ariana,58188832,info@aletkangroup.com,www.aletkangroup.com,aletkangroup.webp,Weird web site,,76
ENERCONFORT,résidence hacen chrouta n°1 cité sourour,2100,gafsa sud,Gafsa,29810328,contact@enerco.tn,www.enerco.tn,enerco.webp,No projects,,76
"Energy Progress Compagny ""EPCOM""",Zone Indistrielle cité Ones,3021,Sakiet ezzit,Sfax,27657065,contact@epcom.tn,www.epcom.tn,epcom.webp,Distributor SOLAX,,76
Energy Vision Strategy (EVS),Immeble Paris Route Bizerte ,2080,Riadh Andalous,Ariana,54464221,contact@energy-vs.com,www.energy-vs.com,energy-vs.webp,No projects ,,76
EPPM Construction,Immeuble Mostakbel - Route afrane – km3,3093,Sfax Sud,Sfax,74661195,nozha.charfi@eppm.com.tn,www.eppm.com.tn,eppm.webp,large organization no mention of solar projects,,76
Etablissement Méditererranéen de Climatisation – EMC,Rue béchir safer ,4180,houmet souk,Medenine,75623662,contact@emc-djerba.com,www.emc-djerba.com,emc-djerba.webp,interesting web site some Small projects,EMCdjerba.1,76
ETELEC,Immeuble bader - berge de lac,,Tunis,Tunis,71801266,contact@etelec.com.tn,www.etelec.com.tn,etelec.webp,PV centrale Tatouine 10MW - 1st project in Tunisia,,76
GAMCO,189 Rue habib bourguiba,8000,Nabeul,Nabeul,72285999,info@gamco-energy.com,www.gamco-energy.com,gamco-energy.webp,Small and large projects,,76
Gigavolt Energy,Rue Tarek Ibn Zied Cité Erriadh II,8090,Kélibia,Nabeul,54235235,gigavolt@gigavolt-energy.com,www.gigavolt-energy.com,gigavolt-energy.webp,No projects,,76
Global Engineering Energy et Construction - GEEC,Rue lac hiroun - residence cascade 2 - lac,1053,Tunis,Tunis,26705333,contact@geec.tn,www.geec.tn,geec.webp,Generalist organization many projects in other areas,,76
Global Produits Energetiques- GPE,26 Rue maghereb arabi - 2035 - tunis carthage,,Ariana,Ariana,71940200,hajem.hajer@gpe.com.tn,www.gpe.com.tn,gpe.webp,Distributor,,76
Green Power Organization- GPC,Route sokra km4 - immeuble zohra ltaief etage 1,3012,Sfax Sud,Sfax,74677888,contact@greenpower.com.tn,www.greenpower.com.tn,greenpower.webp,Many Small and medium projects 100 kw+,GPC.GreenPower,76
Green Technology Organization,14 Rue inni Gammarth supérieur,1057,La Marsa,Tunis,98758763,contact@greentechorganization.tn,www.greentechorganization.tn,greentechorganization.webp,Many Small projects,greentechnologyorganization,76
Hydro Elec Services - HES,lot n°98 - z.industriel - mghira 1,2082,Fouchana,Ben Arous,71333130,contact@hydroelec-tn.com,www.hydroelec-tn.com,hydroelec-tn.webp,Distributor,,76
IFRISOL Distribution,Rue djon jeresse n°71,1002,Bab Bhar,Tunis,29533333,grh@ifrisol.solar,www.ifrisol.solar,ifrisol.solar.webp,Distributor,ifrisol/,76
IPS ENERGY,Taksim SMMT business center B n°107,2033,Megrine,Ben Arous,31379999,info@ipsenergy.tn,www.ipsenergy.tn,ipsenergy.webp,No projects,,76
ITS.COM,Rue Harounresidence Cascad2 etage4 - 1053,1053,Lac Marsa,Tunis,26705329,adnen.bh@itstelecom.com.tn,www.itstelecom.com.tn,itstelecom.webp,No specific to PV,,76
L’Eminence Energie,32 Rue Taher Sfar Résidence El Euch Bloc A App 6,,El Manar 2,Tunis,31405304,energie@eminence.com.tn,www.eminence.com.tn,eminence.webp,No projects,,76
Nasr Contractors,Immeuble nafoura - étage 1 – 1,3000,Sfax,Sfax,70556520,nasr.contractors@nasr.com.tn,www.nasr.com.tn,nasr.webp,generalist no PV projects,,76
Network Expertise Tunisia,Rue mosbah jarbou,,Manar 2,Tunis,71882832,info@nxt.com.tn,www.nxt.com.tn,nxt.webp,generalist no PV projects,,76
Power Gold Energy- PGE,Route Mahdia immeuble bosten centre – etage1,3032,Sfax,Sfax,74259852,contact@pge-photovoltaique.com,www.pge-photovoltaique.com,pge-photovoltaique.webp,Small and medium projects,POWER.GOLD.ENERGY,76
Power Renouvelable Tunisie,Rue habib bourguiba,5080,teboulba,Monastir,73470222,commercial@pertunisia.com,www.pertunisia.com,pertunisia.webp,Distributor SOLAX,PER.Tunisia,76
SATER,Rue Majida boulila – imm.ezzafir,,Sfax,Sfax,29277743,g.daoud@sater-solar.com,www.sater-solar.com,sater-solar.webp,Small and medium projects,SATER.SOLAR,76
Semap Solar,A6 - 19 Immeuble sina buzness city - Centre Urbain Nord,1082,el manzeh,Tunis,70754845,contact@semapsolar.com,www.semapsolar.com,semapsolar.webp,Regime des autorisations 1MW a Enfidha,,76
SENELEC,13 Rue malhama hay ferdous - cité tahrir,2042,tunis,Tunis,71503100,contact@senelec.com.tn,www.senelec.com.tn,senelec.webp,Generalist no PV projects,,76
SerinelOrganization,Rue youghorta n°1,7000,Ain Meriem,Bizerte,72536410,commercial@serinel.com,www.serinel.com,serinel.webp,Generalist no PV projects,,76
SINES,Lot 17 Rue Nabeul Zone industrielle Mghira 2,2082,Fouchana,Ben Arous,71013740,info@sines.tn,www.sines.tn,sines.webp,Large organization many projects including PV,sines.tun,76
société idéale d'électricité et de technologie,20 avenue des USA,1002,belvédère,Tunis,29985510,fathia.ayadi@siet.tn,www.siet.tn,siet.webp,Generalist no PV projects,societeSIET,76
Société Lachheb & Bachtobji Solar Organization,Route de Tabarka,7030,Mateur,Bizerte,72482071,contact@lbsc.tn,www.lbsc.tn,lbsc.webp,few Small projects,profile.php?id=100090990821330,76
SOFTEN Société Franco-tunisienne des énergies nouvelles,Rue des Sciences Zone Industrielle ,8030,Grombalia,Nabeul,27761000,adnen.benaissa@soften.com.tn,www.soften.com.tn,soften.webp,Solar water heaters,SOFTEN.OFFICIEL,76
Solar FM,32 Rue Bejia Av Algerie,3000,Sfax,Sfax,74223721,contact@solar.tn,www.solar.tn,solar.webp,No proof of PV projects,profile.php?id=100054234650107,76
SOLARIA,Rue l université n°20 ennasr 2,2037,Nasr 2,Ariana,71750991,m.zeghal@solaria.tn,www.solaria.tn,solaria.webp,No proof of PV projects,,76
SOLIDER,Route de Sidi Mansour km 6,,Sfax,Sfax,31130113,contact@solider.tn,www.solider.tn,solider.webp,Small PV projects,solider.energy,76
SOMEM,Rue Amine abbessi - n°26,1002,Tunis,Tunis,71799574,info@somem.tn,www.somem.tn,somem.webp,Advisor no PV projects,,76
SOTEEP,Route Mahdia km 5 Immeuble Masmoudi App. n° 3 Mezzanine,3011,Sfax,Sfax,70310580,contact@soteep-tn.com,www.soteep-tn.com,soteep-tn.webp,many projects,,76
STE GREEN ENERGY COMPANY-GEC,immeuble otour elhana - Rte de gremda km6,3012,Sfax Sud,Sfax,74606611,mahdiellouze@gecpv.tn,www.gecpv.tn,gecpv.webp,Small PV projects,,76
STE SOMABE,Avenue Ahmed Aloulou - Imm. Essia A1,3027,Sfax,Sfax,74402017,info@somabe.com.tn,www.somabe.com.tn,somabe.webp,Small projects,,76
STE WINNIG SYSTEMS ENERGY PHOTOVOLTAIQUE,Rue Hédi Mzabi Immb. Ennaser Khezema Ouest,4071,Sousse,Sousse,52111556,wspv@wsenergy.tn,www.wsenergy.tn,wsenergy.webp,Small PV projects,,76
Tech Solaire Innovation - TSI F3A,16 Ekhansa - cité ghazala,2083,Raoued,Ariana,29679750,gerant@techsolaireinnovation.com,www.techsolaireinnovation.com,techsolaireinnovation.webp,claims 100 kw project,,76
Tesla Energie,Route gremda - km 4 - intersection gremda tanyour,3026,Sfax Sud,Sfax,44245400,hatem.karray@teslaenergie.tn,www.teslaenergie.tn,teslaenergie.webp,Small medium and large projects,,76
Total Energies,Rue lac Hourane,1053,Lac ,Tunis,31365500,marielorena.maltese@totalenergies.com,www.totalenergies.com,totalenergies.webp,this is Total,,76
Tuncom,5 Rue Med Belkoja,2200,Tozeur,Tozeur,76474004,n-khalifa@solarenr.fr,www.solarenr.fr,solarenr.webp,projects seem to be in France,,76
Volta PV,28 Rue Lac Victorie Immeuble Essafa,1053,Les Berges du Lac,Tunis,71962052,contact@voltapv.com,www.voltapv.com,voltapv.webp,No proof of solar PV projects last activity on FB from 2022,voltapv,76
Volto Green Tunisia,Cité Gouabsia - manzeh 2,2094,Mnihla,Ariana,55062167,contact@voltogreen.tn,www.voltogreen.tn,voltogreen.webp,No proof of PV projects,voltogreen,76
